No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2251	Sulfur (rhombic)	S	7704-34-9	32.066	yel orth cry	5.3 (trans to monocl)	444.6	2.07		i H2O; sl EtOH, bz, eth; s CS2	
2252	Sulfur (monoclinic)	S	7704-34-9	32.066	"yel monocl needles, stable
95.3-120"	115.21	444.6	2.07		i H2O; sl EtOH, bz, eth; s CS2	
2253	Sulfuric acid	H2SO4	7664-93-9	98.08	col oily liq	10.31	337	1.83022		vs H2O	
2254	Peroxysulfuric acid	H2SO5	7722-86-3	114.079	wh cry; unstable	45 dec				vs H2O	
2255	Nitrosylsulfuric acid	HNOSO4	7782-78-7	127.078	prisms	73 dec				reac H2O; s H2SO4	
2256	Chlorosulfonic acid	SO2(OH)Cl	7790-94-5	116.525	col-yel liq	-80	152	1.75		reac H2O; s py	
2257	Fluorosulfonic acid	SO2(OH)F	7789-21-1	100.07	col liq	-89	163	1.726		reac H2O	
2258	Sulfurous acid	H2SO3	7782-99-2	82.08	exists only in soln					soln of SO2 in H2O	
2259	Sulfamic acid	H2NSO3H	5329-14-6	97.095	orth cry	205 dec		2.15	14.7	sl ace; i eth	
2260	Sulfur dioxide	SO2	7446-09-5	64.065	col gas	-75.5	-10.05	2.619 g/L		s H2O, EtOh, eth, chl	
2261	Sulfur trioxide	SO3	7446-11-9	80.064	col liq	16.8	45	1.92		reac H2O	
2262	Sulfur bromide	SSBr2	13172-31-1	223.94	red oily liq	-46	>25 dec	2.63		reac H2O	
2263	Sulfur chloride	SSCl2	10025-67-9	135.037	yel-red oily liq	-77	137	1.69		reac H2O; s EtOH, bz, eth, ctc	
2264	Sulfur fluoride	SSF2	16860-99-4	102.129	col gas	-164.6	-10.6	4.174 g/L		reac H2O	
2265	Sulfur fluoride	FSSF	13709-35-8	102.129	col gas	-133	15	4.174 g/L		reac H2O	
2266	Sulfur dichloride	SCl2	10545-99-0	102.971	red visc liq	-122	59.6	1.62		reac H2O	
2267	Sulfur tetrafluoride	SF4	7783-60-0	108.06	col gas	-125	-40.45	4.417 g/L		reac H2O	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2268	Sulfur hexafluoride	SF6	2551-62-4	146.056	col gas	-50.7 tp	-63.8 sp	5.970 g/L		sl H2O; s EtOH	
2269	Sulfur bromide pentafluoride	SF5Br	15607-89-3	206.962	col gas	-79	3.1	8.459 g/L			
2270	Sulfur chloride pentafluoride	SF5Cl	13780-57-9	162.511	col gas	-64	-19.05	6.642 g/L			
2271	Sulfur decafluoride	S2F10	5714-22-7	254.116	liq	-52.7	30; dec 150	2.08		i H2O	
2272	Sulfuryl amide	(NH2)2SO2	7803-58-9	96.11	orth plates	93	250 dec			vs H2O; sl EtOH	
2273	Sulfuryl chloride	SO2Cl2	7791-25-5	134.97	col liq	-51	69.4	1.68		reac H2O; s bz, tol, eth	
2274	Sulfuryl fluoride	SO2F2	2699-79-8	102.062	col gas	-135.8	-55.4	4.172 g/L		sl H2O, EtOH; s tol, ctc	
2275	Pyrosulfuryl chloride	S2O5Cl2	7791-27-7	215.034	col fuming liq	-37	151	1.837		reac H2O	
2276	Thionyl bromide	SOBr2	507-16-4	207.873	yel liq	-50	140			reac H2O	
2277	Thionyl chloride	SOCl2	7719-09-7	118.97	yel fuming liq	-101	75.6	1.631		reac H2O; s bz, ctc, chl	
2278	Thionyl fluoride	SOF2	7783-42-8	86.062	col gas	-129.5	-43.8	3.518 g/L		reac H2O; s bz, eth	
2279	Sulfur fluoride hypofluorite	F5SOF	15179-32-5	162.055	col gas	-86	-35.1	6.624 g/L			
2280	Tantalum	Ta	7440-25-7	180.948	gray metal; cub	3007	5458	16.4		reac HF	
2281	Tantalum aluminide	TaAl3	12004-76-1	261.893	gray refrac powder	1400		7.02		i H2O, acid, alk	
2282	Tantalum boride	TaB	12007-07-7	191.759	refrac orth cry	2040		14.2			
2283	Tantalum boride	TaB2	12007-35-1	202.57	blk hex cry	3140		11.2		i H2O, acid, alk	
2284	Tantalum carbide	TaC	12070-06-3	192.959	gold-brown powder; cub	3880	4780	14.3		s HF-HNO3 mixture	
2285	Tantalum carbide	Ta2C	12070-07-4	373.907	refrac hex cry	3327		15.1			
2286	Tantalum nitride	TaN	12033-62-4	194.955	blk hex cry	3090		13.7		i H2O; sl aqua regia; reac alk	
2287	Tantalum silicide	TaSi2	12039-79-1	237.119	gray powder	2200		9.14			
2288	Tantalum(IV) oxide	TaO2	12036-14-5	212.947	tetr cry			10			
2289	Tantalum(IV) selenide	TaSe2	12039-55-3	338.87	hex cry			6.7			
2290	Tantalum(IV) sulfide	TaS2	12143-72-5	245.08	blk hex cry	>3000		6.86		i H2O	
2291	Tantalum(IV) telluride	TaTe2	12067-66-2	436.15	monocl cry			9.4			
2292	Tantalum(V) bromide	TaBr5	13451-11-1	580.468	yel cry powder	265	349	4.99			
2293	Tantalum(V) chloride	TaCl5	7721-01-9	358.212	yel monocl cry; hyg	216	239.35	3.68		reac H2O; s EtOH	
2294	Tantalum(V) fluoride	TaF5	7783-71-3	275.94	wh monocl cry; hyg	95.1	229.2	5		s H2O, eth; sl CS2, ctc	
2295	Tantalum(V) iodide	TaI5	14693-81-3	815.47	blk hex cry; hyg	496	543	5.8			
2296	Tantalum(V) oxide	Ta2O5	1314-61-0	441.893	wh rhomb cry or powder	1784		8.2		i H2O, EtOH, acid; s HF	
2297	Technetium	Tc	7440-26-8	98	hex cry	2157	4265	11			
2298	Technetium(V) fluoride	TcF5	31052-14-9	193	yel solid	50	dec				
2299	Technetium(VI) fluoride	TcF6	13842-93-8	212	yel cub cry	37.4	55.3	3			
2300	Tellurium	Te	13494-80-9	127.6	gray-wh rhomb cry	449.51	988	6.24		i H2O, bz, CS2	
2301	Telluric(VI) acid	H6TeO6	7803-68-1	229.64	wh monocl cry	136		3.07	50.13		
2302	Tellurous acid	H2TeO3	10049-23-7	177.61	wh cry	40 dec		3		sl H2O; s dil acid, alk	
2303	Tellurium dioxide	TeO2	7446-07-3	159.6	wh orth cry	733	1245	5.9		i H2O; s alk, acid	
2304	Tellurium trioxide	TeO3	13451-18-8	175.6	yel-oran cry	430		5.07		i H2O	
2305	Tellurium dibromide	TeBr2	7789-54-0	287.41	grn-brn hyg cry	210	339			reac H2O; s eth; sl chl	
2306	Tellurium dichloride	TeCl2	10025-71-5	198.51	blk amorp solid; hyg	208	328	6.9		reac H2O; i ctc	
2307	Tellurium tetrabromide	TeBr4	10031-27-3	447.22	yel-oran monocl cry	388	420 dec	4.3		reac H2O; s eth	
2308	Tellurium tetrachloride	TeCl4	10026-07-0	269.41	wh monocl cry; hyg	224	387	3		reac H2O; s EtOH, tol	
2309	Tellurium tetrafluoride	TeF4	15192-26-4	203.59	col cry	129	195 dec			reac H2O	
2310	Tellurium tetraiodide	TeI4	7790-48-9	635.22	blk orth cry	280		5.05		reac H2O; sl ace	
2311	Tellurium hexafluoride	TeF6	7783-80-4	241.59	col gas	-37.6 tp	-38.9 sp	9.875 g/L		reac H2O	
2312	Terbium	Tb	7440-27-9	158.925	silv metal; hex	1356	3230	8.23			
											
2313	Terbium chloride	TbCl3	10042-88-3	265.283	wh orth cry; hyg	588		4.35		s H2O	
2314	Terbium chloride hexahydrate	TbCl3  6H2O	13798-24-8	373.374	hyg cry			4.35		vs H2O	
2315	Terbium iodide	TbI3	13813-40-6	539.638	hex cry; hyg	957		5.2		s H2O	
2316	Terbium nitrate	Tb(NO3)3	10043-27-3	344.94	pink hyg solid				15725	s EtOH	
2317	Terbium nitrate hexahydrate	Tb(NO3)3  6H2O	13451-19-9	453.031	col needles	89				s H2O, EtOH, ace	
2318	Terbium nitride	TbN	12033-64-6	172.932	cub cry			9.55			
2319	Terbium oxide	Tb2O3	12036-41-8	365.849	wh cub cry	2303		7.91			
2320	Terbium silicide	TbSi2	12039-80-4	215.096	orth cry			6.66			
2321	Terbium sulfide	Tb2S3	12138-11-3	414.049	cub cry			6.35			
2322	Thallium	Tl	7440-28-0	204.383	soft blue-wh metal	304	1473	11.8		i H2O; reac acid	
2323	Thallium(I) acetate	TlC2H3O2	563-68-8	263.427	hyg wh cry	131		3.68		s H2O, EtOH	
2324	Thallium(I) bromate	TlBrO3	14550-84-6	332.285	col needles	120 dec			0.493	s EtOH	
2325	Thallium(I) bromide	TlBr	7789-40-4	284.287	yel cub cry	460	819	7.5	0.0592		
2326	Thallium(I) carbonate	Tl2CO3	6533-73-9	468.776	wh monocl cry	272		7.11	4.692	i EtOH	
2327	Thallium(I) chlorate	TlClO3	13453-30-0	287.834	col hex cry			5.5	3.922		
2328	Thallium(I) chloride	TlCl	7791-12-0	239.836	wh cub cry	430	720	7	0.332	i EtOH	
2329	Thallium(I) chromate	Tl2CrO4		524.761	yel cry				0.0032	sl acid, alk	
2330	Thallium(I) cyanide	TlCN	13453-34-4	230.401	wh hex plates			6.523		s H2O, acid, EtOH	
2331	Thallium(I) ethanolate	TlC2H5O	20398-06-5	249.443	cloudy liq	-3	130 dec	3.49		reac H2O	
2332	Thallium(I) fluoride	TlF	7789-27-7	223.381	wh orth cry	326	826	8.36	24525		
2333	Thallium(I) formate	TlCHO2	992-98-3	249.401	hyg col needles	101		4.97		vs H2O; s MeOH	
2334	Thallium(I) hexafluorophosphate	TlPF6	60969-19-9	349.347	wh cub cry			4.6			
2335	Thallium(I) hydroxide	TlOH	12026-06-1	221.39	yel needles	139 dec		7.44	34.318		
2336	Thallium(I) iodate	TlIO3	14767-09-0	379.285	wh needles				0.058	sl HNO3	
2337	Thallium(I) iodide	TlI	7790-30-9	331.287	yel cry powder	441.7	824	7.1	0.00852	i EtOH	
2338	Thallium(I) molybdate	Tl2MoO4	34128-09-1	568.71	yel-wh cub cry					i H2O	
2339	Thallium(I) nitrate	TlNO3	10102-45-1	266.388	wh cry	206	450 dec	5.55	9.552	i EtOH	
2340	Thallium(I) nitrite	TlNO2	13826-63-6	250.389	cub cry			5.7	32.125		
2341	Thallium(I) oxalate	Tl2C2O4	30737-24-7	496.786	wh powder			6.31	1.832		
2342	Thallium(I) oxide	Tl2O	1314-12-1	424.766	blk rhomb cry; hyg	579	1080	9.52		s H2O, EtOH	
2343	Thallium(I) perchlorate	TlClO4	13453-40-2	303.834	col orth cry			4.8	19.73		
2344	Thallium(I) selenate	Tl2SeO4	7446-22-2	551.73	orth cry	>400		6.875	2.82	i EtOH, eth	
2345	Thallium(I) selenide	Tl2Se	15572-25-5	487.73	gray plates	340				i H2O, acid	
2346	Thallium(I) sulfate	Tl2SO4	7446-18-6	504.831	wh rhomb prisms	632		6.77	5.4725		
2347	Thallium(I) sulfide	Tl2S	1314-97-2	440.833	blue-blk cry	448	1367	8.39	0.022	sl alk; s acid	
2348	Thallium(III) bromide tetrahydrate	TlBr3  4H2O	13701-90-1	516.157	yel orth cry			3.65		s H2O, EtOH	
2349	Thallium(III) chloride	TlCl3	13453-32-2	310.741	monocl cry	155		4.7		vs H2O, EtOH, eth	
2350	Thallium(III) chloride tetrahydrate	TlCl3  4H2O	13453-32-2*	382.803	orth cry			3		s H2O	
2351	Thallium(III) fluoride	TlF3	7783-57-5	261.378	wh orth cry; hyg	550 dec		8.65		reac H2O	
2352	Thallium(III) nitrate	Tl(NO3)3	13746-98-0	390.398	col cry					reac H2O	
2353	Thallium(III) oxide	Tl2O3	1314-32-5	456.765	brn cub cry	834		10.2		i H2O; reac acid	
2354	Thallium(III) sulfate	Tl2(SO4)3	16222-66-5	696.958	col leaflets					reac H2O	
2355	Thallium selenide	TlSe	12039-52-0	283.34	blk solid	330				i H2O, acid	
2356	Thorium	Th	7440-29-1	232.038	soft gray-wh metal; cub	1750	4788	11.7		s acid	
2357	Thorium hydride	ThH2	16689-88-6	234.054	tetr cry			9.5			
2358	Thorium boride	ThB6	12229-63-9	296.904	refrac solid	2450		6.99			
2359	Thorium(IV) bromide	ThBr4	13453-49-1	551.654	wh hyg cry	679			6520		
2360	Thorium carbide	ThC	12012-16-7	244.049	cub cry	2500		10.6		reac H2O	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2361	Thorium dicarbide	ThC2	12071-31-7	256.059	yel monocl cry	2650		9		reac H2O	
2362	Thorium(IV) chloride	ThCl4	10026-08-1	373.849	gray-wh tetr needles; hyg	770	921	4.59		s H2O, EtOH	
2363	Thorium(IV) fluoride	ThF4	13709-59-6	308.032	wh monocl cry; hyg	1110	1680	6.1			
2364	Thorium(IV) iodide	ThI4	7790-49-0	739.656	wh-yel monocl cry	570	837				
2365	Thorium(IV) nitrate tetrahydrate	Th(NO3)4  4H2O	33088-16-3	552.119	wh hyg cry	500 dec			19120	s EtOH	
2366	Thorium nitride	ThN	12033-65-7	246.045	refrac cub cry	2820		11.6		reac H2O	
2367	Thorium(IV) oxide	ThO2	1314-20-1	264.037	wh cub cry	3390	4400	10		i H2O, alk; sl acid	
2368	Thorium(IV) selenide	ThSe2	60763-24-8	389.96	orth cry			8.5			
2369	Thorium orthosilicate	ThSiO4	14553-44-7	324.122	brn tetr cry			6.7			
2370	Thorium silicide	ThSi2	12067-54-8	288.209	tetr cry	1850		7.9			
2371	Thorium(IV) sulfate nonahydrate	Th(SO4)2  9H2O	10381-37-0	586.303	wh monocl cry	dec		2.8	4.22		
2372	Thorium(IV) sulfide	ThS2	12138-07-7	296.17	dark brn cry	1905		7.3		i H2O; s acid	
2373	Thulium	Tm	7440-30-4	168.934	silv metal; hex	1545	1950	9.32		s dil acid	
2374	Thulium bromide	TmBr3	14456-51-0	408.646	wh hyg cry	954				s H2O	
2375	Thulium chloride	TmCl3	13537-18-3	275.292	yel hyg cry	824				s H2O	
2376	Thulium chloride heptahydrate	TmCl3  7H2O	13778-39-7	401.399	hyg cry					s H2O, EtOH	
2377	Thulium fluoride	TmF3	13760-79-7	225.929	wh cry	1158				s H2O	
2378	Thulium iodide	TmI3	13813-43-9	549.647	yel hyg cry	1021					
2379	Thulium nitrate	Tm(NO3)3	14985-19-4	354.949	grn hyg solid				21225	s EtOH	
2380	Thulium nitrate pentahydrate	Tm(NO3)3  5H2O	36548-87-5	445.025	grn hyg cry					s H2O, EtOH, ace	
2381	Thulium oxide	Tm2O3	12036-44-1	385.866	grn-wh cub cry	2341	3945	8.6		sl acid	
2382	Tin (gray)	Sn	7440-31-5	118.71	cub cry	trans to wh Sn 13.2	2602	5.769			
2383	Tin (white)	Sn	7440-31-5	118.71	silv tetr cry	231.93	2602	7.265			
2384	Stannane	SnH4	2406-52-2	122.742	unstable col gas	-146	-51.8	5.017 g/L			
2385	Methylstannane	SnH3CH3	1631-78-3	136.769	col gas		0	5.590 g/L		reac H2O	
2386	Tin(II) acetate	Sn(C2H3O2)2	638-39-1	236.799	wh orth cry	183	subl	2.31		s dil HCl	
2387	Tin(II) bromide	SnBr2	10031-24-0	278.518	yel powder	215	639	5.12	850	s EtOH, eth, ace	
2388	Tin(II) chloride	SnCl2	7772-99-8	189.615	wh orth cry	247.1	623	3.9	17810	s EtOH, ace, eth; i xyl	
2389	Tin(II) chloride dihydrate	SnCl2  2H2O	10025-69-1	225.646	wh monocl cry	37 dec		2.71	17810	s EtOH, NaOH; vs HCl	
2390	Tin(II) fluoride	SnF2	7783-47-3	156.707	wh monocl cry; hyg	213	850	4.57		s H2O; i EtOH, eth, chl	
2391	Tin(II) hexafluorozirconate	SnZrF6	12419-43-1	323.924	cry			4.21		s H2O	
2392	Tin(II) hydroxide	Sn(OH)2	12026-24-3	152.725	wh amorp solid						
2393	Tin(II) iodide	SnI2	10294-70-9	372.519	red-oran powder	320	714	5.28	0.982	s bz, chl, CS2	
2394	Tin(II) oxalate	SnC2O4	814-94-8	206.729	wh powder	280 dec		3.56		i H2O; s dil HCl	
2395	Tin(II) oxide	SnO	21651-19-4	134.709	blue-blk tetr cry	1080 dec		6.45		i H2O, EtOH; s acid	
2396	Tin(II) pyrophosphate	Sn2P2O7	15578-26-4	411.363	wh amorp powder	400 dec		4.009		i H2O; s conc acid	
2397	Tin(II) selenide	SnSe	1315-06-6	197.67	gray orth cry	861		6.18		i H2O; s aqua regia	
2398	Tin(II) sulfate	SnSO4	7488-55-3	214.774	wh orth cry	378 dec		4.15	18.819		
2399	Tin(II) sulfide	SnS	1314-95-0	150.776	gray orth cry	880	1210	5.08		i H2O; s conc acid	
2400	Tin(II) tartrate	SnC4H4O6	815-85-0	266.781	wh cry powder					s H2O, dil HCl	
2401	Tin(II) telluride	SnTe	12040-02-7	246.31	gray cub cry	790		6.5			
2402	Tin(IV) bromide	SnBr4	7789-67-5	438.326	wh cry	29.1	205	3.34		vs H2O; s EtOH	
2403	Tin(IV) chloride	SnCl4	7646-78-8	260.521	col fuming liq	-34.07	114.15	2.234		reac H2O; s EtOH, ctc, bz, ace	
2404	Tin(IV) chloride pentahydrate	SnCl4  5H2O	10026-06-9	350.597	wh-yel cry	56 dec		2.04		vs H2O; s EtOH	
2405	Tin(IV) chromate	Sn(CrO4)2	38455-77-5	350.697	brn-yel cry powder	dec				s H2O	
											
2406	Tin(IV) fluoride	SnF4	7783-62-2	194.704	wh tetr cry		705 subl	4.78		reac H2O	
2407	Tin(IV) iodide	SnI4	7790-47-8	626.328	yel-brn cub cry	143	364.35	4.46		reac H2O; s EtOH, bz, chl, eth	
2408	Tin(IV) oxide	SnO2	18282-10-5	150.709	gray tetr cry	1630		6.85		i H2O, EtOH; s hot conc alk	
2409	Tin(IV) selenide	SnSe2	20770-09-6	276.63	red-brn cry	650		5.0		i H2O; s alk, conc acid	
2410	Tin(IV) selenite	Sn(SeO3)2	7446-25-5	372.63	cry powder					i H2O; s hot HCl	
2411	Tin(IV) sulfide	SnS2	1315-01-1	182.842	gold-yel hex cry	600 dec		4.5		i H2O; s alk, aqua regia	
2412	Titanium	Ti	7440-32-6	47.867	gray metal; hex	1670	3287	4.506			
2413	Titanium hydride	TiH2	7704-98-5	49.883	gray-blk powder	450 dec		3.75		i H2O	
2414	Titanium boride	TiB2	12045-63-5	69.489	gray refrac solid; hex	3225		4.38			
2415	Titanium carbide	TiC	12070-08-5	59.878	cub cry	3067		4.93		i H2O; s HNO3	
2416	Titanium nitride	TiN	25583-20-4	61.874	yel-brn cub cry	2950		5.21		i H2O; s aqua regia	
2417	Titanium phosphide	TiP	12037-65-9	78.841	gray hex cry	1990		4.08			
2418	Titanium silicide	TiSi2	12039-83-7	104.038	blk orth cry	1500		4		i H2O, acid, alk; s HF	
2419	Titanium(II) bromide	TiBr2	13783-04-5	207.675	blk powder			4		reac H2O	
2420	Titanium(II) chloride	TiCl2	10049-06-6	118.772	blk hex cryc	1035	1500	3.13		reac H2O; s EtOH; i chl, eth	
2421	Titanium(II) iodide	TiI2	13783-07-8	301.676	blk hex cry			5.02		reac H2O	
2422	Titanium(II) oxide	TiO	12137-20-1	63.866	cub cry	1750		4.95			
2423	Titanium(II) sulfide	TiS	12039-07-5	79.933	brn hex cry	1780		3.85		s conc acid	
2424	Titanium(III) bromide	TiBr3	13135-31-4	287.579	blue-blk hex cry					s H2O	
2425	Titanium(III) chloride	TiCl3	7705-07-9	154.225	red-viol hex cry; hyg	425 dec	960	2.64		reac H2O	
2426	Titanium(III) fluoride	TiF3	13470-08-1	104.862	viol hex cry	1200	1400	2.98		i H2O, dil acid, alk	
2427	Titanium(III) oxide	Ti2O3	1344-54-3	143.732	viol hex cry	1842		4.486		s hot HF	
2428	Titanium(III) sulfate	Ti2(SO4)3	10343-61-0	383.925	grn cry					i H2O, EtOH; s dil HCl	
2429	Titanium(III) sulfide	Ti2S3	12039-16-6	191.932	blk hex cry			3.56			
2430	Titanium(III,IV) oxide	Ti3O5	12065-65-5	223.598	blk monocl cry	1777		4.24			
2431	Titanium(IV) bromide	TiBr4	7789-68-6	367.483	yel-oran cub cry; hyg	39	230	3.37		reac H2O	
2432	Titanium(IV) chloride	TiCl4	7550-45-0	189.678	col or yel liq	-24.12	136.45	1.73		reac H2O; s EtOH	
2433	Titanium(IV) fluoride	TiF4	7783-63-3	123.861	wh hyg powder	284	subl	2.798		reac H2O; s EtOH, py	
2434	Titanium(IV) iodide	TiI4	7720-83-4	555.485	red hyg powder	150	377	4.3		reac H2O	
2435	Titanium(IV) oxide	TiO2	13463-67-7	79.866	wh tetr cry	1843		4.23		i H2O, dil acid; s conc acid	
2436	Titanium(IV) oxysulfate monohydrate	TiOSO4  H2O	13825-74-6*	177.945	col orth cry			2.71		reac H2O	
2437	Titanium(IV) sulfate	Ti(SO4)2	13693-11-3	239.994	wh-yel hyg cry	150 dec				s H2O	
2438	Titanium(IV) sulfide	TiS2	12039-13-3	111.999	yel-brn hex cry; hyg			3.37		s H2SO4	
2439	Tungsten	W	7440-33-7	183.84	gray-wh metal; cub	3414	5555	19.3			
2440	Tungstic acid	H2WO4	7783-03-1	249.85	yel amorp powder	100 dec		5.5		i H2O, acid; s alk	
2441	Tungsten boride	W2B	12007-10-2	378.49	refrac blk powder	2670		16		i H2O	
2442	Tungsten boride	WB	12007-09-9	194.65	blk refrac powder	2665		15.2		i H2O	
2443	Tungsten boride	W2B5	12007-98-6	421.74	refrac solid	2365		11		i H2O	
2444	Tungsten carbide	W2C	12070-13-2	379.69	refrac hex cry	2800		14.8		i H2O	
2445	Tungsten carbide	WC	12070-12-1	195.85	gray hex cry	2785		15.6		i H2O; s HNO3/HF	
2446	Tungsten carbonyl	W(CO)6	14040-11-0	351.9	wh cry	170 dec	subl	2.65		i H2O; s os	
2447	Tungsten nitride	WN2	60922-26-1	211.85	hex cry	600 dec		7.7			
2448	Tungsten nitride	W2N	12033-72-6	381.69	gray cub cry	dec		17.8			
2449	Tungsten silicide	WSi2	12039-88-2	240.01	blue-gray tetr cry	2160		9.3		i H2O	
2450	Tungsten silicide	W5Si3	12039-95-1	1003.46	blue-gray refrac solid	2320		14.4			
2451	Tungsten(II) bromide	WBr2	13470-10-5	343.65	yel powder	400 dec					
2452	Tungsten(II) chloride	WCl2	13470-12-7	254.75	yel solid	>500 dec				s H2O	
2453	Tungsten(II) iodide	WI2	13470-17-2	437.65	oran cry			6.79			
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2454	Tungsten(III) bromide	WBr3	15163-24-3	423.55	blk hex cry	>80 dec				i H2O	
2455	Tungsten(III) chloride	WCl3	20193-56-0	290.2	red solid	550 dec	subl			reac H2O	
2456	Tungsten(IV) bromide	WBr4	14055-81-3	503.46	blk orth cry		240 subl			reac H2O	
2457	Tungsten(IV) chloride	WCl4	13470-13-8	325.65	blk hyg powder	450 dec		4.62		reac H2O	
2458	Tungsten(IV) fluoride	WF4	13766-47-7	259.83	red-brn cry	>800 dec					
2459	Tungsten(IV) iodide	WI4	14055-84-6	691.46	blk powder	dec				reac H2O; s EtOH; i eth chl	
2460	Tungsten(IV) oxide	WO2	12036-22-5	215.84	blue monocl cry	1500 dec		10.8		i H2O, os	
2461	Tungsten(IV) selenide	WSe2	12067-46-8	341.76	gray hex cry			9.2			
2462	Tungsten(IV) sulfide	WS2	12138-09-9	247.97	gray hex cry	1250 dec		7.6		i H2O, HCl, alk	
2463	Tungsten(IV) telluride	WTe2	12067-76-4	439.04	gray orth cry	1020		9.43			
2464	Tungsten(V) bromide	WBr5	13470-11-6	583.36	brn-blk hyg solid	286	333				
2465	Tungsten(V) chloride	WCl5	13470-14-9	361.1	blk hyg cry	242	286			reac H2O	
2466	Tungsten(V) ethanolate	W(C2H5O)5	62571-53-3	409.14	pow		105(0.05 mmHg)			s EtAc	
2467	Tungsten(V) fluoride	WF5	19357-83-6	278.83	yel solid	>80 dec					
2468	Tungsten(V) oxytribromide	WOBr3	20213-56-3	439.55	dark brn tetr cry			5.9			
2469	Tungsten(V) oxytrichloride	WOCl3	14249-98-0	306.2	grn tetr cry			4.6			
2470	Tungsten(VI) bromide	WBr6	13701-86-5	663.26	blue-blk cry	309					
2471	Tungsten(VI) chloride	WCl6	13283-01-7	396.56	purp hex cry; hyg	275	346.75	3.52		s EtOH, os	
2472	Tungsten(VI) dioxydibromide	WO2Br2	13520-75-7	375.65	red cry		440 subl				
2473	Tungsten(VI) dioxydichloride	WO2Cl2	13520-76-8	286.74	yel orth cry	265		4.67		i H2O	
2474	Tungsten(VI) dioxydiiodide	WO2I2	14447-89-3	469.65	grn monocl cry	400 dec		6.39			
2475	Tungsten(VI) fluoride	WF6	7783-82-6	297.83	col gas	2.3	17.1	12.17 g/L		reac H2O	
2476	Tungsten(VI) oxide	WO3	1314-35-8	231.84	yel powder	1472		7.2		i H2O; sl acid; s alk	
2477	Tungsten(VI) oxytetrabromide	WOBr4	13520-77-9	519.46	red tetr cry	277	327	5.5		reac H2O	
2478	Tungsten(VI) oxytetrachloride	WOCl4	13520-78-0	341.65	red hyg cry	211	227.55	11.92		reac H2O; s bz, CS2	
2479	Tungsten(VI) oxytetrafluoride	WOF4	13520-79-1	275.83	wh monocl cry	106	185.9	5.07		reac H2O	
2480	Tungsten(VI) sulfide	WS3	12125-19-8	280.04	brn powder					sl H2O; s alk	
2481	Uranium	U	7440-61-1	238.029	silv-wh orth cry	1135	4131	19.1			
2482	Uranium boride	UB2	12007-36-2	259.651	refrac solid	2430		12.7			
2483	Uranium boride	UB4	12007-84-0	281.273	refrac solid	2530		9.32		i H2O	
2484	Uranium carbide	UC	12070-09-6	250.04	gray cub cry	2790					
2485	Uranium carbide	UC2	12071-33-9	262.05	gray tetr cry	2350	4370	11.3		reac H2O; sl EtOH	
2486	Uranium carbide	U2C3	12076-62-9	512.09	gray cub cry	1700 dec		12.7			
2487	Uranium nitride	UN	25658-43-9	252.036	gray cub cry	2805		14.3		i H2O	
2488	Uranium nitride	U2N3	12033-83-9	518.078	cub cry	dec		11.3			
2489	Uranium(III) bromide	UBr3	13470-19-4	477.741	red hyg cry	727				s H2O	
2490	Uranium(III) chloride	UCl3	10025-93-1	344.387	grn hyg cry	837		5.51		vs H2O; i bz, ctc	
2491	Uranium(III) fluoride	UF3	13775-06-9	295.024	blk hex cry	dec		8.9		i H2O; s acid	
2492	Uranium(III) hydride	UH3	13598-56-6	241.053	gray-blk cub cry			11.1			
2493	Uranium(III) iodide	UI3	13775-18-3	618.742	blk hyg cry	766				s H2O	
2494	Uranium(IV) bromide	UBr4	13470-20-7	557.645	brn hyg cry	519				s H2O, EtOH	
2495	Uranium(IV) chloride	UCl4	10026-10-5	379.84	grn octahed cry	590	791	4.72		reac H2O; s EtOH	
2496	Uranium(IV) fluoride	UF4	10049-14-6	314.023	grn monocl cry	1036	1417	6.7	0.0125	s conc acid, alk	
2497	Uranium(IV) iodide	UI4	13470-22-9	745.647	blk hyg cry	506				s H2O, EtOH	
2498	Uranium(IV) oxide	UO2	1344-57-6	270.028	brn cub cry	2827		10.97		i H2O, dil acid; s conc acid	
											
2499	Uranium(IV,V) oxide	U4O9	12037-15-9	1096.111	cub cry			11.2			
2500	Uranium(V) bromide	UBr5	13775-16-1	637.549	brn hyg cry					reac H2O	
2501	Uranium(V) chloride	UCl5	13470-21-8	415.293	brn hyg cry	287				reac H2O	
2502	Uranium(V) fluoride	UF5	13775-07-0	333.021	pale blue tetr cry; hyg	348		5.81		s H2O	
2503	Uranium(V,VI) oxide	U3O8	1344-59-8	842.082	grn-blk orth cry	1300 dec		8.38			
